matrix_n,avg_latency_s,cpu_freq_mhz,repeats,blas_threads
64,7.407366668606603e-05,1500.0150186666667,3,4
128,0.00017670266667361526,1583.3496320000002,3,4
192,0.0004007079999913306,2000.0242773333332,3,4
256,0.0007621136667997538,2400.027136,3,4
320,0.0012465123331821815,2400.0299093333333,3,4
384,0.0020254346666964316,2400.0282453333334,3,4
448,0.0034051203333547164,2400.027136,3,4
512,0.00454187366676706,2400.027690666667,3,4
576,0.006477833666394872,2400.0288,3,4
640,0.008812366000105007,2400.0243626666665,3,4
704,0.011534001000048496,2400.025472,3,4
768,0.015015724999860444,2400.0249173333336,3,4
832,0.01914737900021161,2400.02496,3,4
896,0.02376546199987691,2400.0288,3,4
960,0.029196386999956303,2400.0276906666663,3,4
1024,0.03430009133307976,2400.0305066666665,3,4
1088,0.0424604359999042,2400.029909333333,3,4
1152,0.05057413833325578,2400.0282453333334,3,4
1216,0.05742042666649164,2400.02496,3,4
1280,0.06694236333335842,2400.0254720000003,3,4
1344,0.07728165366658384,2400.0249599999997,3,4
1408,0.08817802199988971,2400.0260266666664,3,4
1472,0.10127140466678004,2400.026026666667,3,4
1536,0.11385582033335595,2400.0282453333334,3,4
1600,0.13056791999997586,2400.0310186666666,3,4
1664,0.14499317300017842,2400.027136,3,4
1728,0.16196280266664567,2400.0249173333336,3,4
1792,0.1798880020000979,2400.027136,3,4
1856,0.20136297399994874,2400.0276906666663,3,4
1920,0.22161884633336135,2400.027136,3,4
1984,0.24630172366672318,2400.0265813333335,3,4
2048,0.2625430529998691,2400.0271786666667,3,4
