matrix_n,avg_latency_s,cpu_freq_mhz,repeats,blas_threads
64,7.711666679218372e-05,2133.3604053333333,3,2
128,0.00017871533327706857,2400.0265813333335,3,2
192,0.00033708566676674917,2400.025472,3,2
256,0.0007182943333342943,2400.0276906666663,3,2
320,0.0011853243333158996,2400.0244053333336,3,2
384,0.001940563333391765,2400.023808,3,2
448,0.003038721333268768,2400.0288426666666,3,2
512,0.00478505099999893,2400.026026666667,3,2
576,0.006553682999917025,2400.026624,3,2
640,0.008840036333064441,2400.0260693333335,3,2
704,0.011352771333349665,2400.0254720000003,3,2
768,0.015821514666792307,2400.022144,3,2
832,0.018974717666575696,2400.022144,3,2
896,0.023544288666774566,2400.0244479999997,3,2
960,0.029365331000008155,2400.02496,3,2
1024,0.03421132633335825,2400.0255146666664,3,2
1088,0.042420845333405545,2400.026624,3,2
1152,0.04956481133346339,2400.027136,3,2
1216,0.05760502799997388,2400.031018666667,3,2
1280,0.06708604366667714,2400.02496,3,2
1344,0.07694655266671664,2400.027690666667,3,2
1408,0.08827933633347129,2400.022741333333,3,2
1472,0.10093506099989706,2400.026026666667,3,2
1536,0.11535772033297083,2400.032128,3,2
1600,0.12907193033333897,2400.0299093333333,3,2
1664,0.14489147500004643,2400.026026666667,3,2
1728,0.1619592446668321,2400.026581333333,3,2
1792,0.17993866066672126,2400.0288,3,2
1856,0.20032091033332713,2400.0249173333336,3,2
1920,0.22051411699991755,2400.026581333333,3,2
1984,0.2459868233334722,2400.0315733333337,3,2
2048,0.2631920913333185,2400.0293546666667,3,2
