matrix_n,avg_latency_s,cpu_freq_mhz,repeats,blas_threads
64,8.516733335757938e-05,1500.0194346666667,3,4
128,0.0002596996667610559,1566.683882666667,3,4
192,0.0007252103334091468,1600.0175146666668,3,4
256,0.0016283969998767134,1600.0180906666665,3,4
320,0.0030705333333571616,1600.018048,3,4
384,0.004895074333338319,1700.0189013333336,3,4
448,0.00762951833318463,1700.0189013333336,3,4
512,0.010549643333433778,1816.686592,3,4
576,0.013318748000074265,2150.028288,3,4
640,0.015795411333328957,2400.0282453333334,3,4
704,0.02107174199985214,2400.022229333333,3,4
768,0.02781366633325888,2400.0210346666668,3,4
832,0.035220138333443174,2400.0255146666673,3,4
896,0.043782930333388016,2400.0238933333335,3,4
960,0.05357147333340132,2400.028288,3,4
1024,0.06441556200009775,2400.0265813333335,3,4
1088,0.0783120976666396,2400.0260693333335,3,4
1152,0.09235108466646125,2400.023808,3,4
1216,0.10821714900005948,2400.0277333333333,3,4
1280,0.12559356566665278,2400.0293546666667,3,4
1344,0.1452295439999034,2400.0310186666666,3,4
1408,0.16680673533331478,2400.026624,3,4
1472,0.19134958866652596,2400.026026666667,3,4
1536,0.21616805933323727,2400.0282453333334,3,4
1600,0.24498021766673142,2400.0260266666664,3,4
1664,0.27544351700013675,2400.027690666667,3,4
1728,0.3084986383334278,2400.027136,3,4
1792,0.34711347766642575,2400.025472,3,4
1856,0.3841272759999204,2400.0299093333338,3,4
1920,0.4249793273334035,2400.0243626666665,3,4
1984,0.4669989986667436,2400.0299520000003,3,4
2048,0.5102277273332826,2400.0293546666667,3,4
